FluideCellIndex,DonorCellIndex,DonorZoneId,WallPointX,WallPointY,ImagePointX,ImagePointY,NormalX,NormalY,DonorDistance,WallDistance
71,71,1,0.611607,-0.0446689,0.613033,-0.0616455,0.0837059,-0.996491,0.00207131,0.00770869
41,41,1,0.537938,-0.0503942,0.538889,-0.0638011,0.0707392,-0.997495,0.00287448,0.0134406
40,40,1,0.513324,-0.0520802,0.514318,-0.067173,0.065753,-0.997836,0.00587453,0.0151256
877,994,1,0.736367,0.0330098,0.738482,0.0536905,0.101707,0.994814,0.00900909,0.0207885
878,995,1,0.711886,0.0354729,0.714178,0.0586166,0.0985284,0.995134,0.0054934,0.0232569
764,854,1,0.036815,0.0311192,0.0298068,0.0499093,-0.349459,0.936952,0.0158426,0.0200545
1021,1153,1,0.90702,0.0135976,0.90996,0.0369873,0.124741,0.992189,0.00310009,0.00127846
1153,1153,1,0.90702,0.0135976,0.90996,0.0369873,0.124741,0.992189,0.00310009,0.00127846
1120,1120,1,0.834046,0.0223827,0.835731,0.0369873,0.114631,0.993408,0.00284535,0.0101204
992,992,1,0.809664,0.0251545,0.811101,0.03798,0.111307,0.993786,0.00303962,0.0129056
347,347,1,0.785258,-0.0278495,0.786947,-0.04337,0.108179,-0.994131,0.00722135,0.0156121
230,180,1,0.736367,-0.0330098,0.738482,-0.0536905,0.101707,-0.994814,0.00900909,0.0207885
75,75,1,0.660588,-0.040363,0.662538,-0.0616455,0.0912414,-0.995829,0.00225928,0.00338987
45,45,1,0.587079,-0.0466811,0.588275,-0.0616455,0.0796808,-0.99682,0.00197105,0.00972475
44,44,1,0.562523,-0.0485919,0.563509,-0.0616455,0.0753699,-0.997156,0.00186379,0.0116377
887,1012,1,0.29031,0.0599965,0.290215,0.0830057,-0.00412416,0.999991,0.00330352,0.0230094
889,1014,1,0.240407,0.0591436,0.239725,0.0813,-0.0307562,0.999527,0.0051862,0.0221668
222,222,1,0.0915999,-0.0453465,0.0885976,-0.0616455,-0.181151,-0.983455,0.00454202,0.00849984
398,277,1,0.0676797,-0.0403123,0.0625355,-0.0616455,-0.234415,-0.972137,0.00594592,0.00342025
277,277,1,0.0676797,-0.0403123,0.0625355,-0.0616455,-0.234415,-0.972137,0.00594592,0.00342025
398,397,1,0.036815,-0.0311192,0.0298068,-0.0499093,-0.349459,-0.936952,0.0158426,0.0200545
620,620,1,0.882724,-0.0166064,0.885213,-0.0369873,0.12119,-0.992629,0.00301051,0.00430908
477,477,1,0.834046,-0.0223827,0.835731,-0.0369873,0.114631,-0.993408,0.00284535,0.0101204
